DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,cohesin
COLOR,#4477aa
FIELD_LABELS,SMC1,SMC3,Scc1,Rec8,Scc3,PDS5,NIPBL,MAU2,WAPL,Eco1,Securin,Sororin,Haspin,Shugoshin,Separase,CTCF
LAPGUS,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0
BREMOT,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
BIGNAT,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0
MATSPE,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0
PAUCHR,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0
BICSPE,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0
HALSEO,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0
HALSPE,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
PLATAR,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0
MASSPE,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0
AURLIM,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0
HONFER,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0
HYPCAT,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0
PHYINF,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
SAPDIC,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0
PHATRI,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0
NANOCE,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0
CHASUB,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0
CLAOKA,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
COLSPE,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0
COLVIE,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0
STECOE,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0
STEHIS,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0
PARTET,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
PSEPER,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
TETTHE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
PERMAR,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
HEMSPE,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
CRYCOH,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0
SYMSPE,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0
CHRVEL,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
VITBRA,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0
TOXGON,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
CRYMUR,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
PLAFAL,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0
THEPAR,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
